activityType,activityDescription,riskLevel,archetype,textContent,sentimentScore
fast_food,Eating at fast food restaurant,HIGH,The Cautious Observer,"Yoga session at home. Quiet, controlled environment. Perfect for avoiding risks.",0.6593
smoking,Smoking outside building,HIGH,The Stoic Engineer,Focused desk work. Code reviews and system refactoring require complete focus.,0.5814
fast_food,Eating at fast food restaurant,HIGH,The Idealistic Activist,Community garden maintenance. Reclaiming green spaces for the people!,0.8542
shopping,Grocery shopping,LOW,The Disillusioned Artist,"Cycling without helmet. Feeling the wind, ignoring the safety margins just to feel alive.",0.4367
gardening,Community garden maintenance,LOW,The Disillusioned Artist,Just a cup of black coffee and another gray morning. What are we all running towards?,0.2414
driving,Commuting during rush hour,MEDIUM,The Idealistic Activist,"Self-directed learning. Knowledge is power. Educate, agitate, organize.",0.7937
socializing,Meeting friends at cafe,LOW,The Community Builder,Volunteering at the local shelter. So proud of everyone who showed up to help today!,0.8685
sports,Playing basketball,MEDIUM,The Community Builder,Meeting friends at cafe. Great discussions about our neighborhood cleanup project.,0.8584
gardening,Community garden maintenance,LOW,The Idealistic Activist,Focused desk work. Writing our manifesto for the upcoming climate action plan.,0.7582
smoking,Smoking outside building,HIGH,The Stoic Engineer,Optimizing the new backend pipeline. System throughput increased by 16%.,0.8132
volunteering,Helping at local shelter,LOW,The Cautious Observer,Grocery shopping. Stocking up on essentials. Preparation is key.,0.4984
sports,Playing basketball,MEDIUM,The Ambitious Entrepreneur,Meeting friends at cafe. Networking is the real net worth. Pitching a new project.,0.6771
socializing,Meeting friends at cafe,LOW,The Ambitious Entrepreneur,"Playing basketball. Love the competition, always playing to win.",0.8305
driving,Commuting during rush hour,MEDIUM,The Stoic Engineer,Self-directed learning on decentralized protocols. Fascinating logic.,0.7080
driving,Commuting during rush hour,MEDIUM,The Ambitious Entrepreneur,Eating at fast food restaurant. Quick fuel. Speed is more valuable than standard pacing right now.,0.5483
volunteering,Helping at local shelter,LOW,The Ambitious Entrepreneur,"Playing basketball. Love the competition, always playing to win.",0.7684
working,Focused desk work,LOW,The Idealistic Activist,Running in the park. Reminds me what we are fighting to protect.,0.7349
cycling,Cycling without helmet,MEDIUM,The Ambitious Entrepreneur,"Playing basketball. Love the competition, always playing to win.",0.8930
gardening,Community garden maintenance,LOW,The Stoic Engineer,Focused desk work. Code reviews and system refactoring require complete focus.,0.5473
studying,Self-directed learning,LOW,The Disillusioned Artist,Smoking outside building. Watching the smoke drift away into the rain. Art is transient.,0.4000
heavy_lifting,Moving boxes into building,MEDIUM,The Community Builder,Meeting friends at cafe. Great discussions about our neighborhood cleanup project.,0.9652
cooking,Preparing a healthy meal,LOW,The Ambitious Entrepreneur,Focused desk work. Refining our seed round deck. Scale is everything.,0.6857
exercise,Running in the park,LOW,The Disillusioned Artist,Commuting during rush hour. A sea of expressionless faces heading to their offices.,0.2920
exercise,Running in the park,LOW,The Disillusioned Artist,Commuting during rush hour. A sea of expressionless faces heading to their offices.,0.2938
gardening,Community garden maintenance,LOW,The Community Builder,"Community garden maintenance. Small seeds, big future. Let's grow together!",0.8489
shopping,Grocery shopping,LOW,The Community Builder,Preparing a healthy meal for the family. Food is love made visible.,0.7062
socializing,Meeting friends at cafe,LOW,The Cautious Observer,"Running in the park. Staying alert, watching the path carefully.",0.4242
driving,Commuting during rush hour,MEDIUM,The Ambitious Entrepreneur,"Commuting during rush hour. Taking calls, closing deals. No time wasted.",0.8929
cycling,Cycling without helmet,MEDIUM,The Disillusioned Artist,"Cycling without helmet. Feeling the wind, ignoring the safety margins just to feel alive.",0.4636
driving,Commuting during rush hour,MEDIUM,The Community Builder,Meeting friends at cafe. Great discussions about our neighborhood cleanup project.,0.9115
heavy_lifting,Moving boxes into building,MEDIUM,The Cautious Observer,Grocery shopping. Stocking up on essentials. Preparation is key.,0.4956
driving,Commuting during rush hour,MEDIUM,The Ambitious Entrepreneur,Meeting friends at cafe. Networking is the real net worth. Pitching a new project.,0.5072
fast_food,Eating at fast food restaurant,HIGH,The Cautious Observer,Grocery shopping. Stocking up on essentials. Preparation is key.,0.4023
cycling,Cycling without helmet,MEDIUM,The Idealistic Activist,Meeting friends at cafe. Planning the next community campaign over hot drinks.,0.5221
cycling,Cycling without helmet,MEDIUM,The Disillusioned Artist,"Focused desk work... or rather, staring at a blank screen wondering if this is all there is.",0.4487
exercise,Yoga session at home,LOW,The Disillusioned Artist,Smoking outside building. Watching the smoke drift away into the rain. Art is transient.,0.3876
cooking,Preparing a healthy meal,LOW,The Idealistic Activist,Helping at local shelter. Real change happens from the ground up.,0.5449
driving,Commuting during rush hour,MEDIUM,The Idealistic Activist,Meeting friends at cafe. Planning the next community campaign over hot drinks.,0.6886
gardening,Community garden maintenance,LOW,The Idealistic Activist,Helping at local shelter. Real change happens from the ground up.,0.5708
fast_food,Eating at fast food restaurant,HIGH,The Community Builder,Focused desk work. Organizing the community outreach schedule.,0.6843
sports,Playing basketball,MEDIUM,The Disillusioned Artist,"Focused desk work... or rather, staring at a blank screen wondering if this is all there is.",0.4920
volunteering,Helping at local shelter,LOW,The Community Builder,Preparing a healthy meal for the family. Food is love made visible.,0.7414
studying,Self-directed learning,LOW,The Community Builder,Volunteering at the local shelter. So proud of everyone who showed up to help today!,0.9150
fast_food,Eating at fast food restaurant,HIGH,The Ambitious Entrepreneur,Focused desk work. Refining our seed round deck. Scale is everything.,0.6590
smoking,Smoking outside building,HIGH,The Cautious Observer,"Smoking outside building. Staying on the sidelines, watching the world spin by.",0.2996
studying,Self-directed learning,LOW,The Disillusioned Artist,Meeting friends at cafe. Superficial conversations in a crowded room. Nostalgia hurts.,0.4350
smoking,Smoking outside building,HIGH,The Stoic Engineer,Commuting during rush hour. The traffic congestion is an optimization problem waiting to be solved.,0.4878
working,Focused desk work,LOW,The Disillusioned Artist,Meeting friends at cafe. Superficial conversations in a crowded room. Nostalgia hurts.,0.3646
gardening,Community garden maintenance,LOW,The Stoic Engineer,Optimizing the new backend pipeline. System throughput increased by 33%.,0.7176
cycling,Cycling without helmet,MEDIUM,The Ambitious Entrepreneur,Meeting friends at cafe. Networking is the real net worth. Pitching a new project.,0.5243
sports,Playing basketball,MEDIUM,The Cautious Observer,Focused desk work. Double-checking all project dependencies to prevent unexpected issues.,0.5641
exercise,Running in the park,LOW,The Disillusioned Artist,Meeting friends at cafe. Superficial conversations in a crowded room. Nostalgia hurts.,0.4891
smoking,Smoking outside building,HIGH,The Ambitious Entrepreneur,Self-directed learning. Staying ahead of the curve. Innovation waits for no one.,0.6305
heavy_lifting,Moving boxes into building,MEDIUM,The Idealistic Activist,Community garden maintenance. Reclaiming green spaces for the people!,0.9488
studying,Self-directed learning,LOW,The Ambitious Entrepreneur,Meeting friends at cafe. Networking is the real net worth. Pitching a new project.,0.6174
shopping,Grocery shopping,LOW,The Cautious Observer,"Yoga session at home. Quiet, controlled environment. Perfect for avoiding risks.",0.6532
driving,Commuting during rush hour,MEDIUM,The Ambitious Entrepreneur,Meeting friends at cafe. Networking is the real net worth. Pitching a new project.,0.6415
exercise,Running in the park,LOW,The Idealistic Activist,Meeting friends at cafe. Planning the next community campaign over hot drinks.,0.7136
fast_food,Eating at fast food restaurant,HIGH,The Idealistic Activist,Focused desk work. Writing our manifesto for the upcoming climate action plan.,0.8542
gardening,Community garden maintenance,LOW,The Ambitious Entrepreneur,Self-directed learning. Staying ahead of the curve. Innovation waits for no one.,0.6771
studying,Self-directed learning,LOW,The Stoic Engineer,Focused desk work. Code reviews and system refactoring require complete focus.,0.5814
cycling,Cycling without helmet,MEDIUM,The Idealistic Activist,Focused desk work. Writing our manifesto for the upcoming climate action plan.,0.9628
driving,Commuting during rush hour,MEDIUM,The Cautious Observer,"Running in the park. Staying alert, watching the path carefully.",0.4440
sports,Playing basketball,MEDIUM,The Ambitious Entrepreneur,Self-directed learning. Staying ahead of the curve. Innovation waits for no one.,0.5892
socializing,Meeting friends at cafe,LOW,The Community Builder,Focused desk work. Organizing the community outreach schedule.,0.7513
socializing,Meeting friends at cafe,LOW,The Stoic Engineer,Preparing a healthy meal. Precise measurements yield consistent nutritional results.,0.4417
working,Focused desk work,LOW,The Stoic Engineer,Self-directed learning on decentralized protocols. Fascinating logic.,0.7781
heavy_lifting,Moving boxes into building,MEDIUM,The Disillusioned Artist,"Cycling without helmet. Feeling the wind, ignoring the safety margins just to feel alive.",0.4652
exercise,Yoga session at home,LOW,The Disillusioned Artist,"Focused desk work... or rather, staring at a blank screen wondering if this is all there is.",0.4526
gardening,Community garden maintenance,LOW,The Stoic Engineer,Running in the park. Maintaining physical systems is as important as digital ones.,0.5527
heavy_lifting,Moving boxes into building,MEDIUM,The Ambitious Entrepreneur,Focused desk work. Refining our seed round deck. Scale is everything.,0.5959
socializing,Meeting friends at cafe,LOW,The Ambitious Entrepreneur,Meeting friends at cafe. Networking is the real net worth. Pitching a new project.,0.6439
exercise,Running in the park,LOW,The Community Builder,Volunteering at the local shelter. So proud of everyone who showed up to help today!,0.8152
